home_team,away_team,match_time,status,stage,group_name,home_flag,away_flag
México,Sudáfrica,2026-06-11T16:00:00Z,scheduled,group,Grupo A,https://flagcdn.com/w320/mx.png,https://flagcdn.com/w320/za.png
Senegal,Ghana,2026-06-12T12:00:00Z,scheduled,group,Grupo A,https://flagcdn.com/w320/sn.png,https://flagcdn.com/w320/gh.png
Canadá,Uruguay,2026-06-12T16:00:00Z,scheduled,group,Grupo B,https://flagcdn.com/w320/ca.png,https://flagcdn.com/w320/uy.png
Croacia,Chile,2026-06-13T12:00:00Z,scheduled,group,Grupo B,https://flagcdn.com/w320/hr.png,https://flagcdn.com/w320/cl.png
Estados Unidos,Gales,2026-06-13T16:00:00Z,scheduled,group,Grupo C,https://flagcdn.com/w320/us.png,https://flagcdn.com/w320/gb-wls.png
Qatar,Marruecos,2026-06-14T12:00:00Z,scheduled,group,Grupo C,https://flagcdn.com/w320/qa.png,https://flagcdn.com/w320/ma.png
Brasil,Escocia,2026-06-14T16:00:00Z,scheduled,group,Grupo D,https://flagcdn.com/w320/br.png,https://flagcdn.com/w320/gb-sct.png
Australia,Turquía,2026-06-15T12:00:00Z,scheduled,group,Grupo D,https://flagcdn.com/w320/au.png,https://flagcdn.com/w320/tr.png
Alemania,Japón,2026-06-15T16:00:00Z,scheduled,group,Grupo E,https://flagcdn.com/w320/de.png,https://flagcdn.com/w320/jp.png
Países Bajos,Costa Rica,2026-06-16T12:00:00Z,scheduled,group,Grupo E,https://flagcdn.com/w320/nl.png,https://flagcdn.com/w320/cr.png
España,Ecuador,2026-06-16T16:00:00Z,scheduled,group,Grupo F,https://flagcdn.com/w320/es.png,https://flagcdn.com/w320/ec.png
Bélgica,Egipto,2026-06-17T12:00:00Z,scheduled,group,Grupo F,https://flagcdn.com/w320/be.png,https://flagcdn.com/w320/eg.png
Argentina,Noruega,2026-06-17T16:00:00Z,scheduled,group,Grupo G,https://flagcdn.com/w320/ar.png,https://flagcdn.com/w320/no.png
Portugal,Costa de Marfil,2026-06-18T12:00:00Z,scheduled,group,Grupo G,https://flagcdn.com/w320/pt.png,https://flagcdn.com/w320/ci.png
Suiza,Nigeria,2026-06-18T16:00:00Z,scheduled,group,Grupo H,https://flagcdn.com/w320/ch.png,https://flagcdn.com/w320/ng.png
Italia,Corea del Sur,2026-06-19T12:00:00Z,scheduled,group,Grupo H,https://flagcdn.com/w320/it.png,https://flagcdn.com/w320/kr.png
